acpi 1.7-3
acpid 2.0.34-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
alacritty 0.12.0-1
alsa-firmware 1.2.4-3
alsa-utils 1.2.8-1
amd-ucode 20230310.588dd07-1
ark 22.12.3-1
audiocd-kio 22.12.3-1
avahi 0.8+22+gfd482a7-3
b43-fwcutter 019-4
base-devel 1-2
bash 5.1.016-2
bitwarden 2023.3.1-1
bluedevil 1:5.27.3-1
breeze-gtk 5.27.3-1
btrfs-progs 6.2.2-1
bzip2 1.0.8-5
chaotic-keyring 20220803-1
chaotic-mirrorlist 20230330-1
cmake 3.26.2-1
code 1.77.0-1
coreutils 9.2-2
cpupower 6.2-1
cronie 1.6.1-1
cryptsetup 2.6.1-3.1
device-mapper 2.03.20-1
dhclient 4.4.3.P1-1
dhcpcd 9.4.1-1
diffutils 3.9-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
docker 1:23.0.1-1
dolphin 22.12.3-1
dolphin-plugins 22.12.3-1
dosfstools 4.2-3
e2fsprogs 1.47.0-1
ecryptfs-utils 111-7
efibootmgr 18-2
elisa 22.12.3-1
exfatprogs 1.2.0-1
f2fs-tools 1.15.0-2
ffmpeg 2:6.0-4
ffmpegthumbs 22.12.3-2
file 5.44-3
filelight 22.12.3-1
filesystem 2023.03.21-1
findutils 4.9.0-3
firefox 111.0.1-1
fish 3.6.1-1
flameshot 12.1.0-1
fwupd 1.8.14-1
gawk 5.2.1-2
gcc-libs 12.2.1-2
gettext 0.21.1-4
glibc 2.37-2
gnome-themes-extra 3.28+r6+g45b1d457-1
google-chrome-beta 113.0.5672.24-1
grep 3.10-1
grub 2.06.r456.g65bc45963-2
grub-btrfs 4.12-2
grub-theme-manjaro 20.2-13
gst-libav 1.22.1-2
gst-plugins-bad 1.22.1-2
gst-plugins-base 1.22.1-2
gst-plugins-good 1.22.1-2
gst-plugins-ugly 1.22.1-2
gtk3 1:3.24.37-1
gwenview 22.12.3-1
gzip 1.12-2
haveged 1.9.18-1
htop 3.2.2-1
hunspell-th 1.0.0-1
inetutils 2.4-1
inxi 3.3.26.1-1
iproute2 6.2.0-2
iputils 20221126-1
jetbrains-toolbox 1.27.3.14493-1
jfsutils 1.1.15-8
kaccounts-providers 22.12.3-1
kamera 22.12.3-1
kate 22.12.3-1
kcalc 22.12.3-1
kde-gtk-config 5.27.3-1
kdeconnect 22.12.3-1
kdegraphics-thumbnailers 22.12.3-1
kdenetwork-filesharing 22.12.3-1
kdeplasma-addons 5.27.3-1
keditbookmarks 22.12.3-1
kfind 22.12.3-1
kgamma5 5.27.3-1
khelpcenter 22.12.3-1
khotkeys 5.27.3-1
kimageformats 5.104.0-1
kinfocenter 5.27.3-1
kinit 5.104.0-1
kio-extras 22.12.3-1
kio-gdrive 22.12.3-1
kmenuedit 5.27.3-1
konsole 22.12.3-1
kscreen 5.27.3-1
kscreenlocker 5.27.3-1
ksshaskpass 5.27.3-1
ksysguard 5.22.0-1
ksystemlog 22.12.3-1
kwallet-pam 5.27.3-1
kwalletmanager 22.12.3-1
kwayland-integration 5.27.3-1
kwin 5.27.3-2
kwrited 5.27.3-1
less 1:608-2
lib32-libcanberra 1:0.30+r2+gc0620e4-2
lib32-libva-intel-driver 2.4.1-1
lib32-libva-mesa-driver 23.0.1-2.1
lib32-libva-vdpau-driver 0.7.4-7
lib32-mesa-demos 8.5.0-1
lib32-mesa-vdpau 23.0.1-2.1
lib32-vulkan-intel 23.0.1-2.1
lib32-vulkan-radeon 23.0.1-2.1
